Period,Sustainable Fund,Conventional Fund,R_f
Period 1,0.007138728,0.008646347,.0010200001
Period 2,0.008326197,0.010325905,.000925
Period 3,0.014774632,0.017741901,.00060000003
Period 4,0.012532271,0.014170243,.000825
Period 5,0.020898233,0.023740289,.00079999998
Period 6,0.016146266,0.019417332,.00081999996
Period 7,0.005285356,0.007751714,.00085999997
Period 8,0.009213778,0.011521631,.00081666664
Period 9,0.006278575,0.007510438,.001025
Period 10,0.010007611,0.011596642,.00083999999
Period 11,0.013206854,0.014310634,.00062499999
Period 12,0.012692554,0.013848475,.00042000003
Period 13,0.003515048,0.003595674,.00063999998
Period 14,0.001124342,0.00096006,.00042000003
Period 15,0.002710224,0.002600678,.00050000002
Period 16,0.004803718,0.004204047,.00022
Period 17,0.007020398,0.006036325,.00026
Period 18,0.003341053,0.00249655,.00018
Period 19,0.00200801,0.001920744,.000099999997
Period 20,0.004406822,0.005058299,.000099999997
Period 21,0.003661211,0.005336517,.000099999997
Period 22,0.003831084,0.005415466,.000099999997
Period 23,0.001933895,0.003060241,.000099999997
Period 24,0.00628415,0.008313579,.000099999997
Period 25,0.006862611,0.008041786,.000099999997
Period 26,0.003791019,0.005363435,.000099999997
Period 27,0.000454274,0.002203701,.000099999997
Period 28,0.000827617,0.001514822,.000099999997
Period 29,0.003299646,0.004910164,.000099999997
Period 30,0.003768179,0.005873359,.000099999997
Period 31,0.003619274,0.005925735,.000099999997
Period 32,0.003438469,0.004908822,.00018
Period 33,0.002575982,0.004826592,.00050000002
Period 34,0.000461521,0.002800094,.00050000002
Period 35,0.006404585,0.008742768,.00050000002
Period 36,0.009879319,0.013160945,.00050000002
Period 37,0.00389859,0.00594843,.00050000002
Period 38,0.005776404,0.008396912,.00050000002
Period 39,0.008716257,0.011327337,.00050000002
Period 40,0.005263735,0.008283312,.00050000002
Period 41,0.006071988,0.00975246,.00050000002
Period 42,0.001752737,0.006258701,.00050000002
Period 43,-0.000382033,0.004139953,.00050000002
Period 44,-0.003625352,0.000971405,.00050000002
Period 45,-0.003224125,0.000234453,.00050000002
